job_title,Number_of_Jobs,Average_Rating,Average_Salary
Business Analyst - Software Development,1,2.8,0.0
Business Analyst - Steel,1,3.5,0.0
ANALYST - DATA INSIGHTS,1,4.5,0.0
ANALYST BUSINESS OPERATIONS - Fraud Risk Assessment / AML,1,3.4,0.0
ANALYST-DATA SCIENCE,1,3.8,8.5
ANALYTICS _ Data Scientist _ India,1,3.3,0.0
APAC HR Leader,1,2.6,0.0
API & Data Integration Engineer,1,3.6,0.0
Data Analyst (AI & Analytics),1,3.6,0.0
Data Analyst (AI & Data Platform),1,4.6,0.0
Data Analyst (Associate Level),1,2.3,0.0
Data Analyst (Associate),1,4.0,0.0
Data Analyst (Associate/Analyt/Senior),1,4.0,0.0
Data Analyst (Bangla Speaker - India),1,3.2,0.0
Data Analyst (BigQuery),1,4.0,0.0
"Data Analyst (Business Intelligence,Python,Machine Learning,Power BI )",1,3.8,0.0
Data Analyst (Databricks),1,3.9,0.0
Data / AI Engineer,1,4.8,0.0
Data Analyst (SQL Tableau ),1,3.8,0.0
Data Analysis Volunteer,1,3.4,0.0
Data Analysis and Reporting,1,3.1,0.0
"Data Analysis and Reporting (Mongo DB, MySQL)",1,3.1,0.0
"Data Analyst ( APLD , LAAD)",1,3.6,11.0
Data Analyst ( CCLF),1,4.6,0.0
Data Analyst ( Chinese Language Expert ),1,4.0,0.0
ARTIFICIAL INTELLIGENCE Professional,1,2.4,14.0
ASI I Professional,1,3.9,0.0
ASIC Design and STA Engineer,1,3.5,0.0
ASIC Engineering Design Verification Leader,1,4.1,0.0
ASP . Net Developers,1,3.6,0.0
ASP.net MVC Engineer/Developer,1,4.2,2.25
ASSISTANT BOOKKEEPER PART TIME,1,3.6,0.0
ASSISTANT MANAGER,1,3.9,0.0
ANALYST,1,3.6,0.0
Data Analyst - Attribution (French),1,3.9,0.0
Data Analyst - BLR,1,4.1,0.0
Data Analyst - Business Administration,1,3.7,0.0
Data Analyst (Deployment),1,2.3,0.0
Data Analyst (ETL Tools),1,4.1,0.0
Data Analyst (English Required),1,3.2,0.0
Data Analyst (IoT),1,3.3,0.0
Data Analyst (Marathi Speaker - India),1,3.2,0.0
Data Analyst (Master Data Mangement),1,4.1,0.0
Data Analyst (NL-SQL),1,3.7,0.0
Data Analyst (Power BI & Advanced Excel) | 1-4 Years,1,4.3,4.5
Data Analyst (Power BI & Advanced Excel) | 2-4 Years,1,4.3,4.5
Data Analyst (Power BI & Azure Databricks),1,4.0,0.0
Data Analyst (PowerBI),1,4.4,0.0
"Data Analyst (Reports, ROI, Insights)",1,3.0,0.0
Data Analyst (SAP Analytics Cloud),1,4.3,0.0
Data Analyst - I,1,3.5,0.0
Data Analyst - Logistics Domain,1,4.5,0.0
Data Analyst - Logistics Operations,1,3.5,0.0
Data Analyst - Manager (Fixed Term Contract),1,4.0,0.0
Data Analyst - Noida,1,4.0,20.5
Data Analyst - Omnichannel Analytics,1,3.6,0.0
Data Analyst - Ongoing Contract,1,3.6,0.0
Data Analyst - People Success,1,2.7,0.0
Data Analyst (Tableau & Python),1,3.9,0.0
Data Analyst (With Python),1,3.3,0.0
Data Analyst (product focused),1,1.5,0.0
Data Analyst - 5+Year Experienced @10LPA- Ahmedabad,1,3.6,9.5
Data Analyst - 5th Mar (Thursday)- Virtual Interview- Pan India,1,3.3,0.0
Data Analyst - AI & ML,1,3.8,0.0
Data Analyst - AI Projects,1,3.6,0.0
Data Analyst - Advance SQL,1,3.8,0.0
Data Analyst - Supply Chain (IN),1,4.6,0.0
Data Analyst - Technical Data PM,1,3.2,0.0
Data Analyst - US Shift,1,3.7,0.0
"Data Analyst - Web Scraping, Data Engineering & Automation",1,3.6,11.0
"Data Analyst -SQL, Python",1,3.9,13.5
Data Analyst / Bioinformatic Analyst Multi-Parameter Flow Cytometry,1,4.5,0.0
Data Analyst / Business Analyst,1,3.6,0.0
Data Analyst / Data Engineer,1,3.4,0.0
Data Analyst / Data Management Analyst_@BFSI,1,3.1,0.0
Data Analyst - Chinese,1,4.0,0.0
Data Analyst - Client delivery,1,3.9,0.0
Data Analyst - Delhi,1,3.6,0.0
Data Analyst - ETL-Big Data-GCP,1,3.6,0.0
Data Analyst - FinBox,1,3.5,0.0
Data Analyst - Fintech,1,2.7,0.0
Data Analyst - Healthcare,1,3.6,0.0
Data Analyst / Reporting Analyst (Gurgaon),1,3.8,5.5
Data Analyst / Reporting Specialist,1,4.4,0.0
Data Analyst / Web Researcher,1,3.6,0.0
Data Analyst 0-2 years Experience,1,3.6,0.25
Data Analyst 1,1,3.4,0.0
Data Analyst 1 (Female Candidates Only),1,3.6,0.0
Data Analyst 2,1,4.1,10.0
Data Analyst 3,1,3.8,0.0
Data Analyst AI ML,1,4.3,0.0
Data Analyst Adobe Analytics & Agile Delivery -7M contract- UK shift,1,3.1,0.0
Data Analyst BI Developer,1,2.8,0.0
"Data Analyst - Portuguese, Japanese Arabic Spanish- Mumbai",1,3.6,8.5
Data Analyst - Power BI,1,3.6,15.0
Data Analyst - Senior Engineer,1,3.7,0.0
Data Analyst - Snowflake/ Data Bricks/Azure Data Factory,1,4.0,0.0
Data Analyst - SquareOne Insights,1,3.9,0.0
Data Analyst / Data Scientist,1,4.0,0.0
Data Analyst / ETL Dev,1,3.6,0.0
Business Analyst - Stradegi,1,3.3,0.0
Business Analyst - PLM,1,3.6,0.0
Business Analyst - Patient Analytics,1,3.6,0.0
Business Analyst - Payment (Cash management) - 6+ Yrs - Mumbai,1,3.6,22.5
Business Analyst - Payment Gateway,1,4.2,0.0
Business Analyst - Payments & Card Lifecycle Management-Data Migration,1,3.4,0.0
Business Analyst - Payments and Mainframe,1,3.4,0.0
Business Analyst - Pricing,1,3.6,0.0
Business Analyst - Product Owner,1,3.6,0.0
Business Analyst - Quality Analyst,1,4.0,2.0
Business Analyst - RPA,1,3.4,0.0
Business Analyst - Reference Data,1,2.5,0.0
Business Analyst - Regulatory Projects - Analyst,1,3.8,0.0
Data Analyst / MIS Executive,1,4.0,0.0
Data Analyst Remote Intern,1,3.6,14.0
"Data Analyst Research, Monitoring, and Evaluation",1,4.0,0.0
Data Analyst Business Insights,1,5.0,0.0
Data Analyst Compliance.New York Compliance,1,3.1,0.0
Data Analyst Course,1,3.6,0.0
Data Analyst Dashboard Specialist,1,2.8,0.0
Data Analyst Data Office,1,3.2,0.0
Data Analyst Defence Tender & Procurement,1,2.2,4.12
Data Analyst For Product Control Onsite,1,3.4,0.0
Data Analyst For Social Media,1,3.6,0.0
Data Analyst Healthcare,1,3.6,0.0
Data Analyst I,1,4.1,0.0
Data Analyst I - AMS,1,4.0,0.0
Data Analyst II - Survey Programming,1,3.8,0.0
"Data Analyst II, RM - AMER",1,4.3,0.0
Data Analyst III,1,3.6,0.0
Data Analyst with Advanced Tableau,1,2.6,0.0
Data Analyst with Data Governance,1,3.6,4.5
Data Analyst with Hadoop,1,5.0,0.0
Data Analyst with Low Code,1,3.8,0.0
Data Analyst with MDM,1,3.3,0.0
Data Analyst | ETL | Informatica - Hyderabad (Female candidates),1,3.5,0.0
Data Analyst Intern @ Crompton,1,3.7,0.0
Data Analyst L3,1,4.0,0.0
Data Analyst Logistics Domain,1,4.5,0.0
Data Analyst MDM Implementation,1,3.6,0.0
Data Analyst Manager,1,4.0,0.0
Data Analyst Mechanical/Instrumentation,1,3.6,0.0
Data Analyst Power BI,1,3.6,0.0
Data Analyst Procurement & Sourcing Analytics,1,3.6,0.0
Data Analyst Professional,1,3.6,0.0
Data Analyst Quality-Assurance,1,3.3,0.0
Data Analyst- SAS,1,3.6,0.0
Data Analyst- Tally and Excel Expert,1,3.6,0.0
Data Analyst- aws services,1,3.3,0.0
Data Analyst-Entry Operator /Customer Support Executive (LPG Operation,1,4.6,0.25
Data Analyst-HR,1,3.9,9.25
Data Analyst/ Business Analyst,1,3.3,0.0
Data Analyst Risk & Compliance,1,3.3,0.0
Data Analyst Senior Executive,1,3.6,7.5
Data Analyst Team Lead,1,4.4,0.0
Data Analyst Team Lead/Manager,1,4.2,0.0
Data Analyst Trainee,1,3.6,14.0
Data Analyst Trainee:[Required],1,3.6,14.0
Data Analyst Trainer (Part Time Onsite),1,5.0,0.0
Data Analyst _P,1,4.0,0.0
Data Analyst and Engineering,1,2.6,0.0
Data Analyst with Adobe Analytics,1,3.1,0.0
Data Analyst/Engineer,1,3.0,0.0
Data Analyst/SQL scripting skills,1,3.3,0.0
Data Analyst/WFM Analyst,1,3.4,0.0
Data Analyst:,1,5.0,0.0
Data Analyst: Remote Job IT company,1,3.6,8.0
Data Analyst: Senior Executive,1,3.6,0.0
Data Analysts (Senior/Analyst/Associate),1,4.0,0.0
Data Analytics & AI - Jr & Sr professionals,1,4.4,0.0
Data Analyst | Remote Opportunity,1,3.6,5.0
Data Analyst || IT Company in Gurgaon || 5 Days Working,1,3.6,7.25
"Data Analyst, AdTech/Omnichannel",1,5.0,0.0
"Data Analyst, Cross Reference",1,3.7,0.0
"Data Analyst, Operations (IP & Legal Compliance)",1,4.3,0.0
Data Analyst- Advanced Analytics,1,3.6,0.0
Data Analyst- PowerBI+ SQL,1,3.6,0.0
Data Analyst- PowerBI+ SQL(Life Insurance/P&C Domain) Immediate Joiner,1,3.6,0.0
Data Analytics & Machine Learning Engineer,1,4.4,0.0
Data Analytics (People and Business) Intern,1,2.9,14.0
Data Analytics Analyst,1,3.1,0.0
Data Analytics Analyst II,1,3.9,0.0
Data Analytics Architect,1,4.7,0.0
Data Analytics BI Lead,1,4.2,0.0
Data Analytics Consultant,1,3.6,0.0
Data Analytics Engineer Intern,1,3.9,0.0
Data Analytics Entry Level (Trainee),1,3.6,0.0
Data Analytics Internship,1,4.4,14.0
Data Analytics Lead,1,3.6,0.0
Data Analytics Professional,1,2.7,0.0
Data Analyst/ Data Engineer,1,3.9,0.0
Data Analyst/ Power BI Developer,1,3.0,7.25
Data Analyst/ Recruitment Analytics,1,4.2,0.0
Data Analyst/Data Entry Executive,1,3.6,3.0
Business Analyst - Operations,1,3.6,0.0
Data Associate Pool,1,3.2,0.0
Data Automation Analyst,1,3.8,0.0
Data Automation Engineer,1,2.5,0.0
Data Analytics Professional - Internal Audit,1,2.7,0.0
"Data Analytics, Associate/Senior Associate",1,3.6,0.0
Data Analytics/Data Scientist,1,3.6,27.5
Data Annotation,1,3.1,0.0
Data Annotation & Medical Data Annotation Specialists,1,4.6,0.0
Data Annotation Professional - French Experts,1,3.6,0.0
Data Annotation Professional - German Experts,1,3.6,0.0
Data Annotation | Content Analyst,1,3.6,0.0
Data Annotation- Dermatalogy,1,3.8,0.0
Data Annotator / Labeling Lead,1,5.0,0.0
Data Annotator Civil Engineering,1,3.6,0.0
Data Annotator Noida,1,3.0,0.0
Data Architect-Banking,1,3.3,32.5
Data Architect-IBM Cloud,1,3.9,0.0
Business Analyst - Investment Management,1,3.3,0.0
"Business Analyst - Jira, DevOps, Figma, Balsamiq",1,3.6,0.0
Business Analyst - Lead,1,3.7,0.0
Business Analyst - Level 3,1,4.8,0.0
Business Analyst - Life Asia | Life Insurance - Mumbai,1,4.5,5.5
Business Analyst - Life Insurance,1,3.3,0.0
Business Analyst - Magic FinServ,1,3.4,0.0
Business Analyst - Manager/Senior Manager,1,3.3,0.0
Business Analyst - Manufacturing,1,3.6,19.25
Business Analyst - Methods & Tools,1,3.6,0.0
Business Analyst - Model Risk Management,1,1.9,0.0
Business Analyst - Moodys Credit Risk,1,3.6,0.0
Business Analyst - Onboarding Accounts Services(MNC BANK),1,3.4,22.5
Business Analyst - Operatinal Technology,1,2.8,0.0
Data Bricks Specialist,1,2.1,0.0
Data Bricks Specialist Seller,1,3.5,0.0
"Data Built Tool & SQL ,,,",1,3.3,0.0
Data Caching Engineer,1,3.8,0.0
Data Catalog Analyst,1,3.7,0.0
Data Center Critical Facilities Engineer (Mechanical),1,3.2,0.0
Data Center Customer Operations Engineer Intern,1,3.2,0.0
Data Center Design Engineering Lead,1,4.3,0.0
Data Center Facilities Engineer,1,3.2,0.0
Data Center Network Engineer,1,3.3,0.0
Data Annotator Professional,1,3.1,0.0
Data Anonymization Analyst,1,3.3,0.0
Data Architect - Gurgaon,1,3.6,19.75
Data Architect Lead,1,3.1,0.0
Data Architect Performance Optimization,1,3.1,0.0
Data Architect SAP S4/HANA and SAP MDG,1,2.0,0.0
Data Centre Engineer - Field,1,3.5,6.5
Data Change Management Professional,1,3.6,0.0
Data Client Support Analyst,1,3.7,0.0
Data Cloud Developer,1,5.0,0.0
Data Cloud Engineer (Salesforce D360),1,5.0,0.0
Data Consultant,1,3.6,0.0
Data Consultant - RADAR - 2+ Years - Gurugram (Hybrid),1,3.6,0.0
Data Conversion Engineer,1,3.9,0.0
Data Conversion Lead,1,3.6,0.0
Data Creation and Management Intern,1,3.4,0.0
Data Curator,1,3.3,0.0
Data Designer,1,3.6,0.0
Data Discovery and Enrichment Expert,1,3.6,0.0
Data Automation Engineer Role,1,3.6,0.0
Data BA,1,3.6,0.0
Data Base Administrator (DBA MySQL/PostgreSQL -Consultant),1,3.2,0.0
Data Engineer (DBT),1,3.6,0.0
"Data Engineer (DBT, Snowflake, Python)",1,3.6,0.0
Data Engineer (Data Lake & AI/ML Focus),1,3.6,0.0
Data Engineer (Data Management),1,3.6,0.0
Data Engineer (Databrick + Pyspark),1,3.8,0.0
Data Domain Engineer,1,3.5,0.0
Data ETL Engineer,1,3.3,0.0
"Data Eng, Mgmt & Governance Assoc Mgr",1,3.7,0.0
"Data Eng, Mgmt & Governance Sr. Analyst",1,3.7,0.0
Data Engineer & SQL Expert,1,3.6,0.0
"Data Engineer ( AWS, Pyspark, ETL) | Upto 23 LPA | 6-8 years",1,3.6,21.25
Data Engineer ( Intern ),1,3.5,14.0
"Data Engineer ( Kafka , AWS , databricks )",1,3.6,0.0
"Data Engineer ( Python , Snowflake )",1,3.1,0.0
Data Engineer ( Senior ),1,3.5,0.0
Data Engineer ( Spark / Airflow ),1,4.0,0.0
Business Analyst - Finance,1,3.7,0.0
Business Analyst - Financial Transformation,1,3.2,0.0
Business Analyst - GIS,1,2.7,0.0
Business Analyst - HCM,1,3.7,0.0
Business Analyst - Healthcare Background,1,3.6,0.0
Business Analyst - I,1,3.5,0.0
Business Analyst - II,1,3.6,0.0
Business Analyst - IT - Goregaon,1,3.5,0.0
Business Analyst - IT Applications,1,4.3,0.0
Business Analyst - IT Services,1,3.0,0.0
Business Analyst - Indian Customs,1,3.3,0.0
Business Analyst - Integration- Pune only 3+ yrs,1,3.6,7.2
Business Analyst - Interns,1,3.6,14.0
Data Engineer (BU-COT),1,3.7,0.0
Data Engineer (COT),1,3.7,0.0
Data Engineer (Core Java and SQL),1,3.6,0.0
"Data Engineer (Python, Snowflake, AWS & DBT)",1,2.7,0.0
Data Engineer (Databricks) - Noida - 5th May - Virtual Interview,1,3.3,0.0
"Data Engineer (ETL ,Python, SQL,PowerBI)",1,3.4,0.0
Data Engineer (ETL),1,3.6,0.0
"Data Engineer (ETL, Cloud)",1,3.8,0.0
Data Engineer (Flink & Iceberg),1,3.5,0.0
Data Engineer (Fresher),1,4.1,0.0
Data Engineer (GCP + Big Data),1,3.4,0.0
Data Engineer (GCP / Azure),1,3.6,0.0
Data Engineer (Immediate Joiner),1,2.3,0.0
Data Engineer (L2),1,4.8,0.0
Data Engineer (LLM Data Pipeline),1,2.8,0.0
Data Engineer (Analytics & AI CoE),1,4.1,0.0
Data Engineer (Azure Data Factory / Fabric),1,3.6,0.0
Data Engineer (Azure | Databricks) + AI Engineering Exposure,1,3.7,0.0
Data Engineer (Azure),1,3.5,0.0
Data Engineer - 14th Feb (Saturday) - Virtual Interview,1,3.3,0.0
Data Engineer - 5 yrs+ exp - Pune (Hybrid),1,3.6,10.0
Data Engineer - 5+ years,1,3.9,0.0
Data Engineer - 9th May Drive - Bangalore,1,3.3,0.0
Data Engineer - ADF,1,4.1,0.0
Data Engineer (MS) (Indian Citizen only),1,3.5,0.0
Data Engineer (OMOP CDM),1,3.6,0.0
Data Engineer (PostgreSQL + GKE + Python),1,3.6,18.0
Data Engineer (PySpark + AWS),1,3.9,8.0
Data Engineer (PySpark + Databricks),1,3.4,0.0
Data Engineer (PySpark),1,3.3,0.0
"Data Engineer (PySpark, Palantir)",1,3.3,0.0
Data Engineer (Python & PySpark),1,3.7,0.0
Data Engineer (Python and SQL),1,3.6,0.0
Data Engineer (Python+ETL),1,3.6,0.0
"Data Engineer (Python, PySpark, Snowflake, Databricks)",1,3.4,0.0
AM/DM - Data Analyst / Data Scientist / Digital Project Lead,1,4.1,0.0
AM/DM - Data Scientist,1,4.1,0.0
Data Engineer - Agentic AI,1,4.5,0.0
Data Engineer - Azure,1,1.8,0.0
Data Engineer - Azure Data and AI,1,3.6,0.0
Data Engineer - Azure+Databricks,1,3.3,0.0
Data Engineer - BI,1,3.2,0.0
"Data Engineer - Cloud, Big Data, ETL & Data Security",1,3.4,0.0
Data Engineer (SAP),1,3.6,0.0
Data Engineer (Sacala+Spark)- Contractual Role,1,3.6,0.0
Data Engineer (academia),1,4.6,0.0
Data Engineer (with Java/Python),1,3.6,0.0
Data Engineer + AI,1,3.8,0.0
Data Engineer + PBI_Meghana (POC),1,3.6,0.0
"Data Engineer - ( Snowflake, AWS, Python)",1,3.6,0.0
Data Engineer - 10th April - Virtual Interview - Pan India,1,3.3,0.25
AM- Internal Auditors (Process + Data Analyst),1,3.2,0.0
Business Analyst - Details,1,4.9,0.0
Business Analyst - Digital,1,4.1,0.0
Business Analyst - Digital / Chennai / Immediate Joinner,1,3.6,11.0
Business Analyst - Digital Channel,1,3.9,0.0
Business Analyst - Digital Marketing,1,2.7,0.0
Business Analyst - Digital banking,1,3.6,0.0
Business Analyst - E - Commerce,1,3.0,0.0
Business Analyst - E Governance (Domain),1,4.6,0.0
Business Analyst - ERP,1,3.6,0.0
Business Analyst - ESM Application & Processes - ServiceNow,1,3.6,0.0
Business Analyst - EdTech,1,3.9,0.0
Business Analyst - Edelweiss Group,1,3.3,6.5
Business Analyst - Equities & Secuirty,1,3.7,0.0
Business Analyst - FX Domain,1,3.9,0.0
Business Analyst - Business Channel,1,3.9,0.0
Data Engineer - AEP Competency,1,3.5,0.0
Data Engineer - AI & Advanced Analytics,1,3.3,0.0
"Data Engineer - AI, GenAI",1,3.6,0.0
Data Engineer - AVP,1,3.8,0.0
Data Engineer - AWS - Kolkata - 11 Jun (Thura) - Virtual Interview,1,3.3,0.0
"Data Engineer - AWS Glue, Pyspark / Chennai / Bengaluru",1,3.6,12.5
API Developer,1,4.1,0.0
API Dot Net Developer Trainee,1,4.5,0.0
API Functional Tester,1,2.8,0.0
API Lead / Manager,1,4.2,0.0
APIGEE Developer,1,3.5,0.0
APPLICATION DEVELOPER,1,3.8,0.0
APPLICATION ENGINEER,1,4.0,0.0
AM Data Governance - Shared - Analyst,1,3.4,0.0
AM Public Finance Data Tech - Analyst,1,3.4,0.0
AM- BLA Data Analyst,1,3.9,0.0
Data Engineer - Methods & Tools,1,3.6,0.0
Data Engineer - Only Immediate Joiner,1,3.6,0.0
Data Engineer - Presales Specialist,1,3.8,0.0
Data Engineer - PySpark,1,3.8,0.0
Data Engineer - PySpark Developer,1,5.0,0.0
Data Engineer - Python Backend,1,3.5,20.0
Data Engineer - DB2,1,3.8,0.0
Data Engineer - Data AI,1,3.8,0.0
Data Engineer - Data Bricks,1,5.0,0.0
"Data Engineer - Data bricks, AWS,Redshift, Data Governance - 7th",1,3.3,0.0
Data Engineer - Databricks - Virtual Interview- 2 June (Tues) - Noida,1,3.3,0.0
Data Engineer - Databricks Unified Data Analytics Platform,1,3.6,18.75
"Data Engineer - Databricks, PySpark & ETL",1,3.3,0.0
Data Engineer - Datawarehouse,1,3.6,0.0
Data Engineer - Deputy Manager,1,3.3,0.0
Data Engineer - FS,1,3.7,0.0
Data Engineer - Python-Pyspark,1,3.4,0.0
Data Engineer - R01555151,1,3.3,0.0
Data Engineer - R01564868,1,3.3,0.0
Data Engineer - SAP Enterprise Knowledge Graph,1,3.5,0.0
Data Engineer - SPARK,1,3.7,0.0
Data Engineer - SQL,1,3.8,0.0
Data Engineer - Scala,1,3.8,0.0
Data Engineer - Senior,1,3.7,0.0
Data Engineer - Senior Associate/Manager,1,1.8,0.0
Data Engineer - Snowflake Developer,1,3.6,0.0
Data Engineer - Snowflake+ Python + DBT + AIML,1,4.3,0.0
Data Engineer - GRC,1,3.3,0.0
Data Engineer - Global Research Modernization,1,3.8,0.0
Data Engineer - IBM Datastage,1,3.3,0.0
Data Engineer - Limestone,1,3.6,0.0
Data Engineer - M1,1,4.6,0.0
Data Engineer - Support Role,1,3.3,6.0
Data Engineer - Tableau,1,3.7,0.0
Data Engineer - Tech Lead,1,3.9,0.0
Data Engineer - Technology,1,3.2,0.0
Data Engineer - Treasure Data,1,3.1,0.0
Data Engineer - Web Scraping,1,3.2,0.0
Data Engineer - denodo,1,3.7,0.0
"Data Engineer -( Snowflake, Matillion, Qlikview)",1,3.6,0.0
Data Engineer -Azure Databricks,1,3.3,0.0
Data Engineer -Azure Modern Data Platform,1,3.6,0.0
Data Engineer -Microsoft Fabric(SJ-IQ),1,3.6,0.0
Data Engineer -Python -BFSI Clients -Excel Models -4 Years -Mumbai,1,3.6,0.0
Data Engineer -Senior Dev,1,3.5,0.0
Data Engineer -Spark+ Scala_Cognizant,1,2.8,0.0
Data Engineer / ADF Administrator,1,5.0,0.0
"Data Engineer - Python, Machine Learning,NLP, LLM, ML",1,4.3,0.0
Data Engineer Data Platforms (Google Cloud),1,3.6,0.0
Data Engineer Databricks,1,3.4,0.0
Data Engineer / Analytics (Azure + SQL + Python),1,2.7,0.0
Data Engineer / Architect,1,3.3,0.0
Data Engineer / BI Specialist _FP&A Systems- Night shift - Remote,1,3.1,0.0
Data Engineer / BI Specialist- FP&A System & Automation,1,3.1,17.0
Data Engineer / Backend DB Developer (PostgreSQL + MDM Data Layer),1,3.5,0.0
Data Engineer / Data Analyst / Python Developer,1,3.6,16.0
"Data Engineer / Data Analyst | SQL, Power BI & Data Warehousing",1,3.4,0.0
Data Engineer / Data Analytics Lead,1,2.5,0.0
Data Engineer / ETL Developer,1,3.6,0.0
Data Engineer / ETL Tester,1,3.4,12.5
Data Engineer /Engineer II,1,3.7,0.0
Data Engineer 1 1 1 1,1,3.6,0.0
Data Engineer : SAP Datasphere and amp & ETL Developer Mumbai,1,3.6,0.0
Data Engineer - Spark,1,3.6,0.0
Data Engineer Big Data,1,4.7,0.0
Data Engineer Data Modeling,1,3.6,0.0
Business Analyst - Business Development,1,4.1,0.0
Business Analyst - CART,1,4.1,0.0
Business Analyst - CLM,1,3.6,0.0
Business Analyst - CMDB Uplift,1,3.3,0.0
Business Analyst - CX,1,4.5,0.0
Business Analyst - Calypso,1,3.4,0.0
Business Analyst - Capital Markets,1,3.6,0.0
Business Analyst - Cardekho Group,1,3.6,0.0
Business Analyst - Compliance,1,3.6,0.0
Business Analyst - Corporate Actions,1,2.5,0.0
Business Analyst - Corporate Strategy (Real Estate),1,3.6,0.0
Business Analyst - Crypto Private Banking,1,3.5,0.0
Business Analyst - 3Di Systems,1,3.5,0.0
Business Analyst - AI,1,3.4,22.5
Data Engineer HVR Developer,1,3.9,0.0
Data Engineer I,1,3.8,0.0
Data Engineer II - SRE,1,3.8,0.0
Data Engineer II-1,1,3.6,0.0
Data Engineer II-2 (ETL/SQL),1,3.6,0.0
Data Engineer II-3(ETL/SQL),1,3.6,0.0
Data Engineer AI Native,1,3.6,0.0
Data Engineer AI/ML Data Platforms & Real-Time Pipelines,1,4.5,0.0
Data Engineer Analyst,1,3.6,0.0
Data Engineer Analytics & Migration Validation (Hands,1,2.8,0.0
Data Engineer Architect,1,3.6,0.0
Data Engineer Architect(AI),1,3.1,32.5
Data Engineer Architect-Quest Global-Bangalore,1,3.5,20.0
Data Engineer Azure Big Data & Snowflake,1,4.0,0.0
Data Engineer Azure Stack,1,3.6,0.0
Data Engineer BLR,1,4.1,0.0
Data Engineer Job @ Applied Materials - Bangalore,1,3.7,22.5
Data Engineer L1,1,3.9,0.0
Data Engineer L3,1,3.6,0.0
Data Engineer Lead ( Immediate Joiners ),1,3.6,37.5
Data Engineer Lead (OT Data)( Oil & Gas),1,3.5,0.0
"Data Engineer Lead - AI, ML, NER, OCR, NLP",1,3.6,0.0
Data Engineer MS Fabric,1,4.1,0.0
Data Engineer Machine Learning (GCP / AI-ML),1,3.6,0.0
Data Engineer Databricks & Lakehouse (Power BI Environment),1,3.7,0.0
Data Engineer Databricks Redshift,1,2.8,0.0
Data Engineer DevOps,1,3.8,0.0
Data Engineer E2,1,4.2,0.0
Data Engineer E3,1,4.2,0.0
Data Engineer ETL Developer,1,2.8,0.0
Data Engineer F2F only,1,3.6,14.0
Data Engineer GCP GOM,1,3.8,0.0
"Data Engineer with Data bricks, python and spark",1,5.0,0.0
Data Engineer Manager,1,3.1,0.0
Data Engineer Manager - For a Large General Insurance Org - Thane,1,3.6,0.0
Data Engineer Palantir,1,2.9,0.0
Data Engineer Palantir - Consultant,1,3.6,0.0
Data Engineer Pricing (FTC 24 Months),1,3.4,11.0
Data Engineer Python + SQL,1,3.6,0.0
Data Engineer Python + SQL with DBT (data build tool),1,3.6,0.0
"Data Engineer Python, SQL CHN",1,4.1,0.0
Data Engineer Scala Spark,1,3.6,0.0
Data Engineer Senior,1,3.4,0.0
"Data Engineer III, RAG and Gen AI",1,3.6,0.0
Data Engineer IND,1,3.5,0.0
Data Engineer IOTE Technologies,1,3.6,0.0
Data Engineer Java & Spar,1,3.6,17.5
Data Engineer Java & Spark,1,4.3,0.0
Data Engineer(Databricks) - 5 - 10years - Bangalore - Hybrid,1,3.6,0.0
"Data Engineer(Python, AI/ML) AI based Product Co in Pune- Hybrid",1,3.6,22.5
Data Engineer Senior Consultant I,1,3.7,0.0
Data Engineer Snowflake,1,3.8,0.0
Data Engineer Snowflake & Databricks,1,4.3,0.0
Data Engineer Support,1,3.8,0.0
Data Engineer With AWS,1,3.8,13.0
Data Engineer and SQL,1,3.6,0.0
Data Engineer in Big Data,1,3.6,25.0
Data Engineer required in Chennai | Immediate Joiner,1,3.6,19.0
Data Engineer support role,1,3.8,0.0
Data Engineer with AI Exposure,1,3.6,32.5
Data Engineer with AI Skills,1,3.8,0.0
Data Engineer with Ai,1,3.6,22.5
Data Engineer with Analytics - US SHift - Work from Office,1,3.6,0.0
Data Engineer with DBT,1,3.6,0.0
"Data Engineer, RMEL",1,3.0,0.0
"Data Engineer, Smart Factory Solutions",1,3.8,0.0
"Data Engineer, Vp",1,3.9,0.0
"Data Engineer,Data Modeler",1,3.6,0.0
Data Engineer- 4,1,3.2,0.0
Data Engineer- 5+Years-Bangalore /Hyderabad /Gurgaon,1,3.6,0.0
Data Engineer- Azure,1,3.7,0.0
Data Engineer with ETL,1,4.1,0.0
Data Engineer with Microsoft Fabric,1,3.6,0.0
Data Engineer with Power BI,1,4.2,0.0
Data Engineer | Anicca Data,1,4.2,0.0
Data Engineer | BFSI / NBFC / Fintech domains | Bangalore WFO | 15L,1,3.6,13.5
"Data Engineer | Python, PySpark, Cloud Data Platforms",1,3.4,0.0
Data Engineer( Interview mode will Be F2F For this Saturday/6th Jun),1,3.4,0.0
Data Engineer(5-10yrs) - GCP & Big Query-@Infosys,1,3.5,0.0
"Data Engineer(Data bricks, AWS,Redshift - 5th June - Virtual Interview",1,3.3,0.0
"Data Engineer, IICS, Informatica",1,3.6,0.0
AM/DM - Employee investigations/Forensics,1,3.2,0.0
AM/DM-Finance(Reimbursement & AP),1,3.3,6.5
AM/DM/Manager Costing,1,2.9,13.0
AM/Manager - Patent Analytics (ECE/Mechanical/CS),1,3.2,0.0
AM/Manager T&P School of Computer Application,1,3.2,0.0
